SipraHub Intranet MVP — Phase 1: All User Stories & Tasks,,,,,,,,,,,
Modules: Infrastructure · Auth · User Management · Announcements · Timesheets · Leave · HR Documents · Search · Dashboard · Hardening,,,,,,,,,,,
,,,,,,,,,,,
Module,Feature ID,Feature Name,User Story,Description,Priority,Story Points,Dependencies,Acceptance Criteria,Jira Type,Sprint,Status
Landing Page,LAND-001,Intranet Landing Page,"As a user, I want to access a professional landing page so that I can understand the platform features and securely navigate to login.","Build a responsive landing page with company branding, module highlights, announcements preview, and secure login entry points (Microsoft Login ). Include responsive design, hero section, feature cards, and navigation to authentication pages.",High,8,INFRA-001,Landing page loads successfully ; Navigation works correctly; Login buttons redirect properly; Branding and feature sections display consistently; Responsive UI validated across screen sizes,Task,Sprint 1,To Do
Notifications,NOTIF-001,Unified Notification System,"As a SipraHub user, I want to receive real-time and persistent notifications for important activities across modules so that I stay informed without manually checking each section of the intranet.","Implement a centralized notification system with real-time WebSocket alerts, notification history dropdown, unread badge count, mark-as-read functionality, and contextual navigation. Support module-based triggers for Leave, Documents, Announcements, and Timesheets.",Critical,13,"AUTH-003, ANN-001, LEAVE-001, TIMESHEET-001","Notifications appear in real time without refresh; Bell icon displays unread count; Users can mark individual/all notifications as read; Clicking notification redirects to related module page; Notifications persist in dropdown history; Leave, Documents, Announcements, and Timesheet events trigger notifications correctly",Task,Sprint 1,To Do
Infrastructure,INFRA-001,Project Scaffolding,"As a developer, I want the project folder structure, Docker Compose, and environment configuration to be ready so that all team members can start development immediately.",Scaffold frontend (React 19 + TypeScript + Vite) and backend services (FastAPI and/or Node/Express). Set up Docker Compose with PostgreSQL container. Configure .env templates for all required secrets.,Critical,8,None,Docker Compose starts all services with one command; Frontend runs on localhost:5173; Backend runs on localhost:8000; PostgreSQL is accessible; .env.example committed with all required keys; README covers setup steps,Task,Sprint 1,To Do
Infrastructure,INFRA-002,PostgreSQL Schema & Migrations,"As a developer, I want the full database schema created via migration scripts so that the database structure is version-controlled and reproducible.","Create all 8 core tables: users, announcements, announcement_reactions, timesheet_weeks, timesheet_entries, leave_requests, leave_balances, hr_documents. Apply all indexes, enums, foreign keys, and constraints via Alembic (FastAPI) or Prisma (Node).",Critical,16,INFRA-001,"All 8 tables created; Enums defined for role, leave_type, status; Foreign keys enforced; Unique constraints on users.email and users.entra_oid; reaction UNIQUE(announcement_id, user_id); Migration runs clean on fresh DB",Task,Sprint 1,To Do
Infrastructure,INFRA-003,Backend API Skeleton,"As a developer, I want a running FastAPI/Express backend with routing, middleware, and error handling in place so that feature teams can plug in endpoint logic without setup overhead.","Scaffold backend with health check endpoint, structured JSON error responses, request-id middleware, CORS config, and the standard error shape from the PRD.",Critical,8,INFRA-001,"GET /health returns 200; CORS allows only configured frontend origin; All errors return {error, message, details}; x-request-id header propagated; Structured JSON logs on every request",Task,Sprint 1,To Do
Infrastructure,INFRA-004,React Frontend Skeleton,"As a developer, I want a running React app with routing, auth context, API client, and design system setup so that feature development can start immediately.","Set up React Router, top-level AuthContext, React Query, React Hook Form. Configure Tailwind with design tokens. Wire Axios instance with session-cookie interceptor. Create base layout with sidebar and top bar.",Critical,8,INFRA-001,App renders without errors; Routing works for all planned pages; Auth context exposes currentUser; API client sends session cookie on every request; Sidebar and topbar shell visible,Task,Sprint 1,To Do
Infrastructure,INFRA-005,"CORS, Security Headers & Rate Limiting","As a system admin, I want all API responses to include correct security headers so that the application is protected against common web attacks.",Configure CORS to allow only registered frontend domain. Add Helmet (Node) or security-header middleware (FastAPI). Configure basic rate limiting on auth endpoints.,High,4,INFRA-003,CORS blocks requests from unlisted origins; Helmet headers present on every response; Auth endpoints return 429 after 20 requests/minute from same IP; No CORS errors in browser for frontend domain,Task,Sprint 1,To Do
Infrastructure,INFRA-006,Environment Configuration & Secrets Management,"As a developer, I want all secrets managed via environment variables with no hardcoded credentials so that the app is safe to deploy.",Define all environment variables from PRD section 14. Validate required vars at startup and fail fast if missing. Provide .env.example for all environments.,Medium,3,INFRA-001,App fails to start with a clear error if DATABASE_URL or ENTRA_TENANT_ID missing; .env.example has all keys; No secrets in git history; Production secrets documented,Task,Sprint 1,To Do
Infrastructure,INFRA-007,CI Pipeline Setup,"As a developer, I want a CI pipeline that runs tests and linting on every pull request so that broken code is caught before merge.","Configure GitHub Actions (or equivalent) to run backend tests (pytest), frontend lint (ESLint), TypeScript type check, and build.",Medium,4,INFRA-003,CI runs on every PR; Lint failures block merge; Type errors block merge; Test failures block merge; Build step verifies frontend bundle,Task,Sprint 1,To Do
Authentication,AUTH-001,Microsoft Entra SSO Login,"As an employee, I want to sign in using my Microsoft 365 account so that I don't need a separate SipraHub password.","Implement MSAL loginRedirect on the frontend. On redirect, frontend calls POST /api/auth/sync with the Entra access token. Backend validates the token against Microsoft's JWKS endpoint.",Critical,12,"INFRA-003, INFRA-004","Clicking Sign In redirects to Microsoft login; After auth, user lands on dashboard; Valid M365 user receives a session cookie; Invalid or expired token returns 401; Token validation uses JWKS not shared secret",Story,Sprint 1,To Do
